Year and Quarter,GDP in Millions,Date
1955 Q1,121747,1955-03-31
1955 Q2,121765,1955-06-30
1955 Q3,124204,1955-09-30
1955 Q4,123527,1955-12-31
1956 Q1,124881,1956-03-31
1956 Q2,124751,1956-06-30
1956 Q3,124594,1956-09-30
1956 Q4,125329,1956-12-31
1957 Q1,127685,1957-03-31
1957 Q2,127644,1957-06-30
1957 Q3,126847,1957-09-30
1957 Q4,127203,1957-12-31
1958 Q1,130017,1958-03-31
1958 Q2,126750,1958-06-30
1958 Q3,129561,1958-09-30
1958 Q4,129911,1958-12-31
1959 Q1,130713,1959-03-31
1959 Q2,132823,1959-06-30
1959 Q3,135648,1959-09-30
1959 Q4,139094,1959-12-31
1960 Q1,142565,1960-03-31
1960 Q2,141565,1960-06-30
1960 Q3,143674,1960-09-30
1960 Q4,144509,1960-12-31
1961 Q1,146876,1961-03-31
1961 Q2,147484,1961-06-30
1961 Q3,146753,1961-09-30
1961 Q4,146476,1961-12-31
1962 Q1,147109,1962-03-31
1962 Q2,148500,1962-06-30
1962 Q3,149408,1962-09-30
1962 Q4,148870,1962-12-31
1963 Q1,149550,1963-03-31
1963 Q2,156027,1963-06-30
1963 Q3,156716,1963-09-30
1963 Q4,160273,1963-12-31
1964 Q1,161333,1964-03-31
1964 Q2,164347,1964-06-30
1964 Q3,164952,1964-09-30
1964 Q4,167430,1964-12-31
1965 Q1,166975,1965-03-31
1965 Q2,167074,1965-06-30
1965 Q3,168424,1965-09-30
1965 Q4,169502,1965-12-31
1966 Q1,169749,1966-03-31
1966 Q2,170745,1966-06-30
1966 Q3,171303,1966-09-30
1966 Q4,170622,1966-12-31
1967 Q1,172902,1967-03-31
1967 Q2,175314,1967-06-30
1967 Q3,176021,1967-09-30
1967 Q4,176978,1967-12-31
1968 Q1,183476,1968-03-31
1968 Q2,182717,1968-06-30
1968 Q3,186277,1968-09-30
1968 Q4,186998,1968-12-31
1969 Q1,186620,1969-03-31
1969 Q2,188017,1969-06-30
1969 Q3,189030,1969-09-30
1969 Q4,189939,1969-12-31
1970 Q1,188748,1970-03-31
1970 Q2,193258,1970-06-30
1970 Q3,195099,1970-09-30
1970 Q4,196872,1970-12-31
1971 Q1,195942,1971-03-31
1971 Q2,199456,1971-06-30
1971 Q3,202884,1971-09-30
1971 Q4,203687,1971-12-31
1972 Q1,204098,1972-03-31
1972 Q2,209482,1972-06-30
1972 Q3,210040,1972-09-30
1972 Q4,213318,1972-12-31
1973 Q1,223780,1973-03-31
1973 Q2,224213,1973-06-30
1973 Q3,222122,1973-09-30
1973 Q4,221266,1973-12-31
1974 Q1,215122,1974-03-31
1974 Q2,218215,1974-06-30
1974 Q3,219517,1974-09-30
1974 Q4,216301,1974-12-31
1975 Q1,216390,1975-03-31
1975 Q2,212882,1975-06-30
1975 Q3,212192,1975-09-30
1975 Q4,214585,1975-12-31
1976 Q1,218180,1976-03-31
1976 Q2,217883,1976-06-30
1976 Q3,220587,1976-09-30
1976 Q4,225228,1976-12-31
1977 Q1,225362,1977-03-31
1977 Q2,223815,1977-06-30
1977 Q3,225295,1977-09-30
1977 Q4,229115,1977-12-31
1978 Q1,231258,1978-03-31
1978 Q2,233910,1978-06-30
1978 Q3,237107,1978-09-30
1978 Q4,239186,1978-12-31
1979 Q1,238472,1979-03-31
1979 Q2,248867,1979-06-30
1979 Q3,243369,1979-09-30
1979 Q4,245858,1979-12-31
1980 Q1,243513,1980-03-31
1980 Q2,238722,1980-06-30
1980 Q3,238432,1980-09-30
1980 Q4,235866,1980-12-31
1981 Q1,235712,1981-03-31
1981 Q2,236272,1981-06-30
1981 Q3,238846,1981-09-30
1981 Q4,239131,1981-12-31
1982 Q1,239578,1982-03-31
1982 Q2,242095,1982-06-30
1982 Q3,242639,1982-09-30
1982 Q4,244317,1982-12-31
1983 Q1,249032,1983-03-31
1983 Q2,250761,1983-06-30
1983 Q3,253655,1983-09-30
1983 Q4,255533,1983-12-31
1984 Q1,257683,1984-03-31
1984 Q2,255100,1984-06-30
1984 Q3,256975,1984-09-30
1984 Q4,261627,1984-12-31
1985 Q1,264127,1985-03-31
1985 Q2,269787,1985-06-30
1985 Q3,269737,1985-09-30
1985 Q4,269896,1985-12-31
1986 Q1,272720,1986-03-31
1986 Q2,275136,1986-06-30
1986 Q3,276863,1986-09-30
1986 Q4,282193,1986-12-31
1987 Q1,284172,1987-03-31
1987 Q2,288385,1987-06-30
1987 Q3,295493,1987-09-30
1987 Q4,298855,1987-12-31
1988 Q1,303698,1988-03-31
1988 Q2,305281,1988-06-30
1988 Q3,309097,1988-09-30
1988 Q4,311574,1988-12-31
1989 Q1,313083,1989-03-31
1989 Q2,315039,1989-06-30
1989 Q3,315554,1989-09-30
1989 Q4,315515,1989-12-31
1990 Q1,317117,1990-03-31
1990 Q2,319239,1990-06-30
1990 Q3,315744,1990-09-30
1990 Q4,314148,1990-12-31
1991 Q1,312596,1991-03-31
1991 Q2,312235,1991-06-30
1991 Q3,311624,1991-09-30
1991 Q4,312006,1991-12-31
1992 Q1,311904,1992-03-31
1992 Q2,311418,1992-06-30
1992 Q3,312896,1992-09-30
1992 Q4,315307,1992-12-31
1993 Q1,316882,1993-03-31
1993 Q2,318302,1993-06-30
1993 Q3,321218,1993-09-30
1993 Q4,323400,1993-12-31
1994 Q1,326585,1994-03-31
1994 Q2,329584,1994-06-30
1994 Q3,332911,1994-09-30
1994 Q4,334363,1994-12-31
1995 Q1,336090,1995-03-31
1995 Q2,336789,1995-06-30
1995 Q3,340542,1995-09-30
1995 Q4,341602,1995-12-31
1996 Q1,343859,1996-03-31
1996 Q2,344979,1996-06-30
1996 Q3,348214,1996-09-30
1996 Q4,352958,1996-12-31
1997 Q1,358611,1997-03-31
1997 Q2,362573,1997-06-30
1997 Q3,365942,1997-09-30
1997 Q4,371341,1997-12-31
1998 Q1,374037,1998-03-31
1998 Q2,376421,1998-06-30
1998 Q3,377650,1998-09-30
1998 Q4,380155,1998-12-31
1999 Q1,382789,1999-03-31
1999 Q2,384605,1999-06-30
1999 Q3,390758,1999-09-30
